communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED broadcast , 1 ;
communication , TASK_MANAGER_NEEDED retransmission broadcast , 1 ;
