power_consumption , energy loaded , 19656 ;
power_consumption , energy loaded , 22032 ;
power_consumption , energy loaded , 22464 ;
power_consumption , energy loaded , 23976 ;
power_consumption , energy loaded , 25920 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 26114 ;
power_consumption , energy loaded , 26258 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 28296 ;
power_consumption , energy loaded , 28518 ;
power_consumption , energy loaded , 28728 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 24846 ;
power_consumption , energy loaded , 25704 ;
power_consumption , energy loaded , 28674 ;
power_consumption , energy loaded , 26615 ;
power_consumption , energy loaded , 27742 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 21764 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 25926 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 22377 ;
power_consumption , energy loaded , 28293 ;
power_consumption , energy loaded , 26516 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 26584 ;
power_consumption , energy loaded , 26824 ;
power_consumption , energy loaded , 22158 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 28518 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 24385 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28148 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 27469 ;
power_consumption , energy loaded , 27891 ;
power_consumption , energy loaded , 25588 ;
power_consumption , energy loaded , 25757 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 25978 ;
power_consumption , energy loaded , 26343 ;
power_consumption , energy loaded , 26762 ;
power_consumption , energy loaded , 28879 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28757 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28106 ;
power_consumption , energy loaded , 28293 ;
power_consumption , energy loaded , 27313 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 23713 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 24209 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 26729 ;
power_consumption , energy loaded , 26142 ;
power_consumption , energy loaded , 26466 ;
power_consumption , energy loaded , 26329 ;
power_consumption , energy loaded , 17502 ;
power_consumption , energy loaded , 25097 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27074 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28670 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27295 ;
power_consumption , energy loaded , 18798 ;
power_consumption , energy loaded , 26043 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 24205 ;
power_consumption , energy loaded , 27489 ;
power_consumption , energy loaded , 21174 ;
power_consumption , energy loaded , 28713 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 27099 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27809 ;
power_consumption , energy loaded , 24912 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 26513 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 24414 ;
power_consumption , energy loaded , 17067 ;
power_consumption , energy loaded , 26918 ;
power_consumption , energy loaded , 25743 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 25497 ;
power_consumption , energy loaded , 28457 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27720 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 26527 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 20369 ;
power_consumption , energy loaded , 27768 ;
power_consumption , energy loaded , 25030 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 27273 ;
power_consumption , energy loaded , 28807 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 27187 ;
power_consumption , energy loaded , 26863 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 27377 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 28745 ;
power_consumption , energy loaded , 27727 ;
power_consumption , energy loaded , 29023 ;
power_consumption , energy loaded , 24836 ;
power_consumption , energy loaded , 28375 ;
power_consumption , energy loaded , 28995 ;
power_consumption , energy loaded , 28591 ;
power_consumption , energy loaded , 27161 ;
power_consumption , energy loaded , 28889 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 26785 ;
power_consumption , energy loaded , 22470 ;
power_consumption , energy loaded , 26341 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28105 ;
power_consumption , energy loaded , 28390 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 28255 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 28241 ;
power_consumption , energy loaded , 26574 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28604 ;
power_consumption , energy loaded , 27511 ;
power_consumption , energy loaded , 27385 ;
power_consumption , energy loaded , 27175 ;
power_consumption , energy loaded , 27079 ;
power_consumption , energy loaded , 28673 ;
power_consumption , energy loaded , 28889 ;
