communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
count , agent deliver , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , agent deliver , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , agent deliver , 1 ;
communication , want_to_be_task_manager , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
count , agent deliver , 1 ;
communication , want_to_be_task_manager , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , agent deliver , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , want_to_be_task_manager , 1 ;
communication , proposal , 1 ;
communication , want_to_be_task_manager , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , agent deliver , 1 ;
communication , want_to_be_task_manager , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , want_to_be_task_manager , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , agent deliver , 1 ;
communication , want_to_be_task_manager , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , want_to_be_task_manager , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
count , became taskmanager , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
communication , give_proposal retransmit , 1 ;
count , i am better , 1 ;
count , passed along , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
communication , proposal , 1 ;
