power_consumption , energy loaded , 22686 ;
power_consumption , energy loaded , 22896 ;
power_consumption , energy loaded , 23982 ;
power_consumption , energy loaded , 25062 ;
power_consumption , energy loaded , 25920 ;
power_consumption , energy loaded , 26568 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 21822 ;
power_consumption , energy loaded , 25704 ;
power_consumption , energy loaded , 21171 ;
power_consumption , energy loaded , 27003 ;
power_consumption , energy loaded , 25926 ;
power_consumption , energy loaded , 22686 ;
power_consumption , energy loaded , 24840 ;
power_consumption , energy loaded , 27438 ;
power_consumption , energy loaded , 25278 ;
power_consumption , energy loaded , 26325 ;
power_consumption , energy loaded , 25497 ;
power_consumption , energy loaded , 28302 ;
power_consumption , energy loaded , 26574 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 25056 ;
power_consumption , energy loaded , 23766 ;
power_consumption , energy loaded , 25494 ;
power_consumption , energy loaded , 28086 ;
power_consumption , energy loaded , 27216 ;
power_consumption , energy loaded , 26139 ;
power_consumption , energy loaded , 28728 ;
power_consumption , energy loaded , 20736 ;
power_consumption , energy loaded , 25926 ;
power_consumption , energy loaded , 27444 ;
power_consumption , energy loaded , 25707 ;
power_consumption , energy loaded , 23976 ;
power_consumption , energy loaded , 27654 ;
power_consumption , energy loaded , 25272 ;
power_consumption , energy loaded , 25060 ;
power_consumption , energy loaded , 25059 ;
power_consumption , energy loaded , 28302 ;
power_consumption , energy loaded , 24843 ;
power_consumption , energy loaded , 20958 ;
power_consumption , energy loaded , 23985 ;
power_consumption , energy loaded , 28092 ;
power_consumption , energy loaded , 20310 ;
power_consumption , energy loaded , 24411 ;
power_consumption , energy loaded , 24192 ;
power_consumption , energy loaded , 28728 ;
power_consumption , energy loaded , 23976 ;
power_consumption , energy loaded , 25710 ;
power_consumption , energy loaded , 26355 ;
power_consumption , energy loaded , 24840 ;
power_consumption , energy loaded , 19227 ;
power_consumption , energy loaded , 22683 ;
power_consumption , energy loaded , 24195 ;
power_consumption , energy loaded , 19446 ;
power_consumption , energy loaded , 24846 ;
power_consumption , energy loaded , 26142 ;
power_consumption , energy loaded , 17499 ;
power_consumption , energy loaded , 28944 ;
power_consumption , energy loaded , 22248 ;
power_consumption , energy loaded , 23112 ;
power_consumption , energy loaded , 25281 ;
power_consumption , energy loaded , 28512 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 23760 ;
power_consumption , energy loaded , 24201 ;
power_consumption , energy loaded , 22689 ;
power_consumption , energy loaded , 23760 ;
power_consumption , energy loaded , 26574 ;
power_consumption , energy loaded , 25707 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 27867 ;
power_consumption , energy loaded , 26568 ;
power_consumption , energy loaded , 27000 ;
power_consumption , energy loaded , 24414 ;
power_consumption , energy loaded , 27441 ;
power_consumption , energy loaded , 19656 ;
power_consumption , energy loaded , 26139 ;
power_consumption , energy loaded , 25059 ;
power_consumption , energy loaded , 26574 ;
power_consumption , energy loaded , 21171 ;
power_consumption , energy loaded , 26142 ;
power_consumption , energy loaded , 26571 ;
power_consumption , energy loaded , 24408 ;
power_consumption , energy loaded , 23118 ;
power_consumption , energy loaded , 27654 ;
power_consumption , energy loaded , 26790 ;
power_consumption , energy loaded , 25923 ;
power_consumption , energy loaded , 25056 ;
power_consumption , energy loaded , 21819 ;
power_consumption , energy loaded , 26784 ;
power_consumption , energy loaded , 24411 ;
power_consumption , energy loaded , 20094 ;
power_consumption , energy loaded , 20958 ;
power_consumption , energy loaded , 22464 ;
power_consumption , energy loaded , 22251 ;
power_consumption , energy loaded , 24195 ;
power_consumption , energy loaded , 26790 ;
power_consumption , energy loaded , 23550 ;
power_consumption , energy loaded , 26787 ;
power_consumption , energy loaded , 27648 ;
power_consumption , energy loaded , 19878 ;
power_consumption , energy loaded , 24198 ;
power_consumption , energy loaded , 24195 ;
power_consumption , energy loaded , 24962 ;
power_consumption , energy loaded , 19872 ;
power_consumption , energy loaded , 27873 ;
power_consumption , energy loaded , 24843 ;
power_consumption , energy loaded , 22902 ;
power_consumption , energy loaded , 28518 ;
power_consumption , energy loaded , 24840 ;
power_consumption , energy loaded , 23544 ;
power_consumption , energy loaded , 23985 ;
power_consumption , energy loaded , 25926 ;
power_consumption , energy loaded , 25494 ;
power_consumption , energy loaded , 25068 ;
power_consumption , energy loaded , 25062 ;
power_consumption , energy loaded , 26950 ;
power_consumption , energy loaded , 24411 ;
power_consumption , energy loaded , 26352 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 27648 ;
power_consumption , energy loaded , 25494 ;
power_consumption , energy loaded , 23982 ;
power_consumption , energy loaded , 27438 ;
power_consumption , energy loaded , 27000 ;
power_consumption , energy loaded , 24411 ;
power_consumption , energy loaded , 26784 ;
power_consumption , energy loaded , 27006 ;
power_consumption , energy loaded , 27003 ;
power_consumption , energy loaded , 25062 ;
power_consumption , energy loaded , 22254 ;
power_consumption , energy loaded , 19008 ;
power_consumption , energy loaded , 26784 ;
power_consumption , energy loaded , 24840 ;
power_consumption , energy loaded , 23328 ;
power_consumption , energy loaded , 25710 ;
power_consumption , energy loaded , 17715 ;
power_consumption , energy loaded , 25491 ;
power_consumption , energy loaded , 23979 ;
power_consumption , energy loaded , 25920 ;
power_consumption , energy loaded , 27000 ;
power_consumption , energy loaded , 27432 ;
power_consumption , energy loaded , 26355 ;
power_consumption , energy loaded , 20955 ;
power_consumption , energy loaded , 25920 ;
power_consumption , energy loaded , 22680 ;
power_consumption , energy loaded , 22902 ;
power_consumption , energy loaded , 23118 ;
power_consumption , energy loaded , 22680 ;
power_consumption , energy loaded , 27009 ;
power_consumption , energy loaded , 24414 ;
power_consumption , energy loaded , 24624 ;
power_consumption , energy loaded , 25923 ;
power_consumption , energy loaded , 27864 ;
power_consumption , energy loaded , 27870 ;
power_consumption , energy loaded , 24846 ;
power_consumption , energy loaded , 27003 ;
power_consumption , energy loaded , 25707 ;
power_consumption , energy loaded , 28296 ;
power_consumption , energy loaded , 25704 ;
power_consumption , energy loaded , 25491 ;
power_consumption , energy loaded , 27648 ;
power_consumption , energy loaded , 27000 ;
power_consumption , energy loaded , 25926 ;
power_consumption , energy loaded , 23112 ;
power_consumption , energy loaded , 28302 ;
power_consumption , energy loaded , 22248 ;
power_consumption , energy loaded , 26142 ;
power_consumption , energy loaded , 28296 ;
power_consumption , energy loaded , 25278 ;
power_consumption , energy loaded , 27864 ;
power_consumption , energy loaded , 25704 ;
power_consumption , energy loaded , 26784 ;
power_consumption , energy loaded , 26136 ;
power_consumption , energy loaded , 26568 ;
power_consumption , energy loaded , 28518 ;
